Type,Store ID,Name,Address,Opening Hour,Zip Code,City,Canton
M-Migros,90328,Thal,"Wiesentalstrasse 4, 9425 Thal",,9425,Thal,Zürich
MM-Migros,150066,Thalwil,"Alte Landstrasse 130, 8800 Thalwil",,8800,Thalwil,Zürich
M-Migros,93710,Thayngen,"Biberstrasse 30, 8240 Thayngen",,8240,Thayngen,Zürich
Migros-Partner,63200,Thierrens,"Rue du Collège 6, 1410 Thierrens",,1410,Thierrens,Vaud
MMM-Migros,49000,Thoiry (F),"CC Val Thoiry, 01710 Thoiry",,01710,Thoiry,Fribourg
MM-Migros,34250,Thun - Bälliz,"Bälliz 2, 3600 Thun",,3600,Thun,Bern
M-Migros,33680,Thun - Dürrenast,"Frutigenstrasse 60, 3604 Thun",,3604,Thun,Bern
MMM-Migros,34720,Thun - Oberland,"Talackerstrasse 62, 3604 Thun",,3604,Thun,Bern
Migros Fachmarkt,33250,Thun - Panorama Center,"Weststrasse 14, 3604 Thun",,3604,Thun,Bern
MM-Migros,90466,Thusis - im Park,"Im Park, 7430 Thusis",,7430,Thusis,Graubünden
MM-Migros,44830,Thônex,"Rue de Genève 92, 1226 Thônex",,1226,Thônex,Genève
M-Migros,83610,Tramelan,"Rue Albert-Gobat 1, 2720 Tramelan",,2720,Tramelan,Bern
M-Migros,90341,Triesen,"Landstrasse 251, 9495 Triesen",,9495,Triesen,Zürich
M-Migros,93175,Turbenthal,"Tösstalstrasse 54, 8488 Turbenthal",,8488,Turbenthal,Zürich
M-Migros,90361,Tägerwilen,"Hauptstrasse 117, 8274 Tägerwilen",,8274,Tägerwilen,Zürich
M-Migros,33330,Uetendorf,"Dorfstrasse 21, 3661 Uetendorf",,3661,Uetendorf,Bern
M-Migros,150080,Uitikon-Waldegg,"Zürcherstrasse 8, 8142 Uitikon Waldegg",,8142,Uitikon,Zürich
MM-Migros,33653,Unterentfelden,"Binzmattweg 8, 5035 Unterentfelden",,5035,Unterentfelden,Aargau
M-Migros,96531,Unterwetzikon,"Hofstrasse 47, 8620 Wetzikon ZH",,8620,Wetzikon,Zürich
M-Migros,73760,Unterägeri,"Zugerstrasse 32, 6314 Unterägeri",,6314,Unterägeri,Luzern
M-Migros,150151,Urdorf - Spitzacker,"Birmensdorferstrasse 87, 8902 Urdorf",,8902,Urdorf,Zürich
MMM-Migros,150251,Uster - Illuster,"Zürichstrasse 20, 8610 Uster",,8610,Uster,Zürich
Migros Fachmarkt,150194,Uster-West,"Winterthurerstrasse 18, 8610 Uster",,8610,Uster,Zürich
M-Migros,33350,Utzenstorf - Linde,"Hauptstrasse 29, 3427 Utzenstorf",,3427,Utzenstorf,Bern
MM-Migros,150179,Uznach - Frohsinn,"Zürcherstrasse 25, 8730 Uznach",,8730,Uznach,Zürich
MM-Migros,90450,Uzwil - Birkenhof,"Lindenstrasse 5, 9240 Uzwil",,9240,Uzwil,Zürich
Voi,37338,VOI Aarburg,"Bahnhofstrasse 59, 4663 Aarburg",,4663,Aarburg,Solothurn
Voi,37322,VOI Aarwangen,"Langenthalstrasse 44, 4912 Aarwangen",,4912,Aarwangen,Bern
Voi,77357,VOI Alpnach,"Brünigstrasse 29, 6055 Alpnach Dorf",,6055,Alpnach,Obwalden
Voi,37335,VOI Baden - Mellingerstrasse,"Mellingerstrasse 142, 5400 Baden",,5400,Baden,Aargau
Voi,49103,VOI Bellevue,"Chemin des Romelles 17, 1293 Bellevue",,1293,Bellevue,Genève
Voi,37303,VOI Bern - Fellergut,"Mühledorfstrasse 15, 3018 Bern",,3018,Bern,Bern
Voi,37306,VOI Bern - Fischermätteli,"Könizstrasse 60, 3008 Bern",,3008,Bern,Bern
Voi,37343,VOI Bern - Kramgasse,"Kramgasse 54, 3011 Bern",,3011,Bern,Bern
Voi,37311,VOI Bern - Schosshalde,"Schossshaldenstrasse 16, 3006 Bern",,3006,Bern,Bern
Voi,37325,VOI Bern - Spiegel,"Chasseralstrasse 156, 3095 Bern",,3095,Bern,Bern
Voi,37334,VOI Bern - Viktoriastrasse,"Viktoriastrasse 49, 3013 Bern",,3013,Bern,Bern
Voi,37351,VOI Bern Warmbächli,"Holligerplatz 1, 3008 Bern",,3008,Bern,Bern
Voi,77350,VOI Beromünster,"Aargauerstrasse 16, 6215 Beromünster",,6215,Beromünster,Luzern
Voi,37314,VOI Bettlach,"Dorfstrasse 12, 2544 Bettlach",,2544,Bettlach,Solothurn
Voi,37345,VOI Biel - Jardin du Paradis,"Jakob-Stämpflistrasse 112, 2502 Biel/Bienne",,2502,Biel,Bern
Voi,37319,VOI Biel - Mett,"Schollstrasse 2, 2504 Biel/Bienne",,2504,Biel,Bern
Voi,37339,VOI Boll,"Kernstrasse 9, 3067 Boll",,3067,Boll,Bern
Voi,150816,VOI Bonstetten,"Schachenstrasse 115, 8906 Bonstetten",,8906,Bonstetten,Zürich
Voi,37307,VOI Brügg,"Hauptstrasse 17, 2555 Brügg BE",,2555,Brügg,Bern
Voi,150802,VOI Buchs ZH,"Meierwiesenstrasse 20, 8107 Buchs",,8107,Buchs,Zürich
Voi,77354,VOI Büron,"Sagipark 7, 6233 Büron",,6233,Büron,Luzern
Voi,37321,VOI Dulliken,"Grundstrasse 1, 4657 Dulliken",,4657,Dulliken,Solothurn
Voi,49100,VOI Genève-Cirque,"Place du Cirque 2, 1204 Genève",,1204,Genève,Genève
Voi,150806,VOI Geroldswil,"Huebwiesenstrasse 26b, 8954 Geroldswil",,8954,Geroldswil,Zürich
Voi,49102,VOI Gland,"Rue du Borgeaud 10d, 1196 Gland",,1196,Gland,Vaud
Voi,37308,VOI Grindelwald,"Dorfstrasse 155, 3818 Grindelwald",,3818,Grindelwald,Bern
Voi,150803,VOI Horgen,"Seestrasse 288, 8810 Horgen",,8810,Horgen,Zürich
Voi,37324,VOI Ins,"Moosgasse 7, 3232 Ins",,3232,Ins,Bern
Voi,37323,VOI Jegenstorf,"Solothurnstrasse 24, 3303 Jegenstorf",,3303,Jegenstorf,Bern
Voi,37344,VOI Kappel,"Mittelgäustrasse 22, 4616 Kappel SO",,4616,Kappel,Solothurn
Voi,150813,VOI Kilchberg,"Bahnhofstrasse 3, 8802 Kilchberg ZH",,8802,Kilchberg,Zürich
Voi,37355,VOI Köniz-Neuhausplatz,"Könizstrasse 251, 3097 Liebefeld",,3097,Liebefeld,Bern
Voi,37328,VOI Lengnau,"Bielstrasse 35, 2543 Lengnau BE",,2543,Lengnau,Bern
Voi,37356,VOI Lenzburg,"Augustin Keller-Strasse 19, 5600 Lenzburg",,5600,Lenzburg,Aargau
Voi,77355,VOI Luzern Wesemlin,"Abendweg 46, 6006 Luzern",,6006,Luzern,Aargau
Voi,49101,VOI Meyrin - Les Vergers,"3, place de la Diversité, 1217 Meyrin",,1217,Meyrin,Genève
Voi,37316,VOI Niederbipp,"Wydenstrasse 9, 4704 Niederbipp",,4704,Niederbipp,Solothurn
Voi,37317,VOI Niedergösgen,"Aarestrasse 49, 5013 Niedergösgen",,5013,Niedergösgen,Solothurn
Voi,37336,VOI Niederlenz,"Lenzburgerstrasse 2, 5702 Niederlenz",,5702,Niederlenz,Aargau
Voi,37346,VOI Niederrohrdorf,"Moosstrasse 2, 5443 Niederrohrdorf",,5443,Niederrohrdorf,Aargau
Voi,37329,VOI Roggwil,"Dorfstrasse 19, 4914 Roggwil",,4914,Roggwil,Bern
Voi,37309,VOI Rombach,"Bibersteinstrasse 4, 5022 Rombach",,5022,Rombach,Aargau
Voi,150808,VOI Rümlang,"Lindenstrasse 16, 8153 Rümlang",,8153,Rümlang,Zürich
Voi,37341,VOI Safenwil,"Güterstrasse 1A, 5745 Safenwil",,5745,Safenwil,Aargau
Voi,37347,VOI Schafisheim,"Seetalstrasse 117, 5503 Schafisheim",,5503,Schafisheim,Aargau
Voi,150810,VOI Schwerzenbach,"Bahnstrasse 14, 8603 Schwerzenbach",,8603,Schwerzenbach,Zürich
Voi,37312,VOI Seengen,"Unterdorfstrasse 7a, 5707 Seengen",,5707,Seengen,Aargau
Voi,77351,VOI Sempach Stadt,"Oberstadt 6, 6204 Sempach Stadt",,6204,Sempach,Luzern
Voi,150807,VOI Siebnen,"Glarnerstrasse 36, 8854 Siebnen",,8854,Siebnen,Schwyz
Voi,77356,VOI Stans,"Marktgasse 2, 6370 Stans",,6370,Stans,Nidwalden
Voi,37337,VOI Steffisburg,"Bahnhofstrasse 87, 3613 Steffisburg",,3613,Steffisburg,Bern
Voi,37361,VOI Stettlen,"Bernstrasse 57, 3066 Stettlen",,3066,Stettlen,Bern
Voi,37302,VOI Strengelbach,"Langenthalerstrasse 1, 4802 Strengelbach",,4802,Strengelbach,Aargau
Voi,37331,VOI Studen,"Hauptstrasse 65, 2557 Studen",,2557,Studen,Bern
Voi,37318,VOI Sumiswald,"Spitalstrasse 10, 3454 Sumiswald",,3454,Sumiswald,Bern
Voi,37348,VOI Thun Bahnhof,"Panoramastrasse 1a, 3600 Thun",,3600,Thun,Bern
Voi,37304,VOI Trimbach,"Chäppeligasse 5, 4632 Trimbach",,4632,Trimbach,Solothurn
Voi,37326,VOI Unterkulm,"Böhlerstrasse 2, 5726 Unterkulm",,5726,Unterkulm,Aargau
Voi,127610,VOI Viganello,"alla Chiesa 2, 6962 Viganello",,6962,Viganello,Ticino
Voi,37313,VOI Wabern,"Seftigenstrasse 259, 3084 Wabern",,3084,Wabern,Bern
Voi,150815,VOI Wallisellen,"Schäfligrabenstrasse 45, 8304 Wallisellen",,8304,Wallisellen,Zürich
Voi,37315,VOI Wangen a. Aare,"Vorstadt 14, 3380 Wangen an der Aare",,3380,Wangen,Bern
Voi,37333,VOI Wichtrach,"Dorfplatz 1, 3114 Wichtrach",,3114,Wichtrach,Bern
Voi,37332,VOI Wilderswil,"Hauptstrasse 27, 3812 Wilderswil",,3812,Wilderswil,Bern
Voi,37342,VOI Zollbrück,"Langnaustr. 16, 3436 Zollbrück",,3436,Zollbrück,Bern
Voi,150801,VOI Zürich - Grünau,"Grünauring 37, 8064 Zürich",,8064,Zürich,Zürich
Voi,150812,VOI Zürich - Hönggerstrasse,"Hönggerstrasse 117, 8037 Zürich",,8037,Zürich,Zürich
Voi,150804,VOI Zürich - In der Ey,"Letzigraben 239, 8047 Zürich",,8047,Zürich,Zürich
Voi,150809,VOI Zürich - Leimbach,"Ankenweid 10, 8041 Zürich",,8041,Zürich,Zürich
Voi,150805,VOI Zürich - Paradies,"Paradiesstrasse 3, 8038 Zürich",,8038,Zürich,Zürich
M-Migros,63740,Vallorbe,"Grand-Rue 23, 1337 Vallorbe",,1337,Vallorbe,Vaud
M-Migros,134240,Verbier,"Les Arcades, 1936 Verbier",,1936,Verbier,Valais
M-Migros,44860,Vernier - Arcenter,"Route de Peney 2-4, 1214 Vernier",,1214,Vernier,Genève
MM-Migros,64420,Vevey - Midi Coindet,"Av. Gustave Coindet 11, 1800 Vevey",,1800,Vevey,Vaud
M-Migros,63635,Vevey Des 2 Gares,"Rue des Moulins 5 b, 1800 Vevey","Geschlossen, geöffnet ab 28.03.",1800,Vevey,Vaud
M-Migros,33613,Villmergen,"Schulhausstrasse 2, 5612 Villmergen",,5612,Villmergen,Aargau
Migros-Partner,137200,Vionnaz,"Route du Léman 33, 1895 Vionnaz",,1895,Vionnaz,Valais
MM-Migros,134480,Visp,"Brückenweg 10, 3930 Visp",,3930,Visp,Valais
MM-Migros,150061,Volketswil,"Im Zentrum 18, 8604 Volketswil",,8604,Volketswil,Zürich
Migros-Partner,137201,Vétroz,"Rue de la Lizerne 7, 1963 Vétroz",,1963,Vétroz,Valais
MM-Migros,34350,Wabern - Chly Wabere,"Seftigenstrasse 368, 3084 Wabern",,3084,Wabern,Bern
M-Migros,93770,Wald ZH,"Bahnhofstrasse 20, 8636 Wald ZH",,8636,Wald,Zürich
M-Migros,90337,Walenstadt,"Bahnhofstrasse 27, 8880 Walenstadt",,8880,Walenstadt,Zürich
M-Migros,150163,Wallisellen,"Bahnhofstrasse 30, 8304 Wallisellen",,8304,Wallisellen,Zürich
MMM-Migros,150670,Wallisellen - Glattzentrum,"Neue Winterthurerstrasse 99, 8304 Wallisellen",,8304,Wallisellen,Zürich
MM-Migros,90452,Wattwil,"Bahnhofstrasse 19, 9630 Wattwil",,9630,Wattwil,St. Gallen
Migros-Partner,77290,Weggis,"Luzernerstrasse 44, 6353 Weggis",,6353,Weggis,Luzern
M-Migros,73170,Weinbergli Luzern,"Tribschenstrasse 62, 6005 Luzern",,6005,Luzern,Aargau
MM-Migros,90455,Weinfelden - Rösslifelsen,"Amriswilerstrasse 12, 8570 Weinfelden",,8570,Weinfelden,Zürich
M-Migros,90387,Weinfelden Weststrasse,"Weststrasse 27/29, 8570 Weinfelden",,8570,Weinfelden,Zürich
MM-Migros,34323,Wettingen - Landstrasse,"Landstrasse 69, 5430 Wettingen",,5430,Wettingen,Aargau
MMM-Migros,94720,Wetzikon - Züri-Oberland-Märt,"Bahnhofstrasse 151, 8620 Wetzikon",,8620,Wetzikon,Zürich
MM-Migros,90458,Widnau - Rhydorf-Center,"Bahnhofstrasse 2, 9443 Widnau",,9443,Widnau,Zürich
MM-Migros,90461,Wil SG,"Obere Bahnhofstrasse 5, 9500 Wil SG",,9500,Wil,Zürich
M-Migros,33793,Wildegg,"Bruggerstrasse 11 c, 5103 Wildegg",,5103,Wildegg,Aargau
M-Migros,73780,Willisau - Chrüzhof,"Ettiswilerstrasse 14, 6130 Willisau",,6130,Willisau,Luzern
M-Migros,33703,Windisch,"Bachmattstrasse 35, 5210 Windisch",,5210,Windisch,Aargau
M-Migros,93610,Winterthur - Blumenau,"Wülflingerstrasse 71, 8400 Winterthur",,8400,Winterthur,Zürich
M-Migros,93810,Winterthur - Deutweg,"Pflanzschulstrasse 9, 8400 Winterthur",,8400,Winterthur,Zürich
M-Migros,93680,Winterthur - Hegi,"Hintermühlenstrasse 4, 8409 Winterthur",,8409,Winterthur,Zürich
MMM-Migros,94730,Winterthur - Neuwiesen,"Strickerstrasse 3, 8400 Winterthur",,8400,Winterthur,Zürich
M-Migros,93120,Winterthur - Obertor,"Stadthausstrasse 31, 8400 Winterthur",,8400,Winterthur,Zürich
MM-Migros,94250,Winterthur - Oberwinterthur,"Guggenbühlstrasse 1, 8404 Winterthur",,8404,Winterthur,Zürich
MM-Migros,94740,Winterthur - Rosenberg,"Schaffhauserstrasse 154, 8400 Winterthur",,8400,Winterthur,Zürich
MM-Migros,94270,Winterthur - Seen,"Hinterdorfstrasse 40, 8405 Winterthur",,8405,Winterthur,Zürich
M-Migros,94260,Winterthur - Töss,"Zürcherstrasse 102, 8406 Winterthur",,8406,Winterthur,Zürich
M-Migros,93690,Winterthur - Wülflingen,"Lindenplatz 1, 8408 Winterthur",,8408,Winterthur,Zürich
MM-Migros,90390,Wittenbach,"Oedenhof 1c, 9300 Wittenbach",,9300,Wittenbach,Zürich
MM-Migros,34333,Wohlen,"Bahnhofstrasse 7, 5610 Wohlen AG",,5610,Wohlen,Aargau
MM-Migros,74320,Wolhusen - Dorfmärt,"Entlebucherstr. 36, 6110 Wolhusen",,6110,Wolhusen,Luzern
M-Migros,150050,Wollerau Märt Roospark,"Roosstrasse 23, 8832 Wollerau",,8832,Wollerau,Schwyz
MM-Migros,34340,Worb,"Richigenstrasse 1, 3076 Worb",,3076,Worb,Bern
M-Migros,73300,Wylpark Hergiswil,"Seestrasse 43, 6052 Hergiswil NW",,6052,Hergiswil,Nidwalden
MMM-Migros,150252,Wädenswil,"Oberdorfstrasse 27-31, 8820 Wädenswil",,8820,Wädenswil,Zürich
Migros Fachmarkt,150165,Wädenswil Zürisee Center,"Rütistrasse 1, 8820 Wädenswil",,8820,Wädenswil,Zürich
MMM-Migros,64950,Yverdon - Métropole,"Rue de Neuchâtel 3, 1400 Yverdon-les-Bains",,1400,Yverdon,Vaud
M-Migros,63750,Yverdon Sud,"Rue de Lausanne 10, 1400 Yverdon-les-Bains",,1400,Yverdon,Vaud
Migros-Partner,63100,Yvonand,"Rue des Vergers, 1462 Yvonand",,1462,Yvonand,Vaud
M-Migros,73810,Zell,"Zelgmatte 2, 6144 Zell LU",,6144,Zell,Luzern
MM-Migros,134220,Zermatt,"Hofmattstrasse 12, 3920 Zermatt",,3920,Zermatt,Valais
MM-Migros,34363,Zofingen,"Aarburgerstrasse 5, 4800 Zofingen",,4800,Zofingen,Aargau
M-Migros,33200,Zollikofen,"Bernstrasse 103, 3052 Zollikofen",,3052,Zollikofen,Bern
M-Migros,150177,Zollikon - Dorf,"Rotfluhstrasse 100, 8702 Zollikon",,8702,Zollikon,Zürich
Migros-Partner,29550,Zollweiden,"Baselstrasse 71, 4142 Münchenstein",,4142,Münchenstein,Basel-Landschaft
M-Migros,33863,Zuchwil,"Hauptstrasse 60-62, 4528 Zuchwil",,4528,Zuchwil,Solothurn
M-Migros,73190,Zug - Grabenstrasse,"Grabenstrasse 5, 6300 Zug",,6300,Zug,Luzern
MM-Migros,74330,Zug - Metalli,"Baarerstrasse 22, 6300 Zug",,6300,Zug,Luzern
M-Migros,73120,Zug Herti,"Hertizentrum 10, 6300 Zug",,6300,Zug,Luzern
MM-Migros,150190,Zumikon,"Dorfstrasse 17, 8126 Zumikon",,8126,Zumikon,Zürich
M-Migros,90391,Zuzwil,"Herbergstrasse 17, 9524 Zuzwil SG",,9524,Zuzwil,St. Gallen
M-Migros,34411,Zweisimmen,"Thunstrasse 11, 3770 Zweisimmen",,3770,Zweisimmen,Bern
MM-Migros,150015,Zürich - Affoltern,"Jonas-Furrer-Strasse 21, 8046 Zürich",,8046,Zürich,Zürich
MM-Migros,150193,Zürich - Airport,"Flughafen Zürich AG, 8058 Zürich - Flughafen",,8058,Zürich,Zürich
M-Migros,150327,Zürich - Albisriederplatz,"Badenerstrasse 376, 8004 Zürich",,8004,Zürich,Zürich
Voi,150814,Zürich - Albisriederstrasse,"Albisriederstrasse 253, 8047 Zürich",,8047,Zürich,Zürich
M-Migros,150360,Zürich - Altstetten M-Express,"Hohlstrasse 600, 8048 Zürich",,8048,Zürich,Zürich
MMM-Migros,150201,Zürich - Altstetten Neumarkt,"Altstetterstrasse 145, 8048 Zürich",,8048,Zürich,Zürich
M-Migros,150303,Zürich - Bahnhof Enge,"Tessinerplatz 10, 8002 Zürich",,8002,Zürich,Zürich
MM-Migros,150665,Zürich - Brunaupark,"Giesshübelstrasse 65, 8045 Zürich",,8045,Zürich,Zürich
M-Migros,150117,Zürich - Burgwies,"Forchstrasse 260, 8008 Zürich",,8008,Zürich,Zürich
MMM-Migros,150202,Zürich - City,"Löwenstrasse 31-35, 8001 Zürich",,8001,Zürich,Zürich
M-Migros,150361,Zürich - HB Sihlquai,"Sihlpassage, 8004 Zürich",,8004,Zürich,Zürich
M-Migros,150184,Zürich - Hauptbahnhof,"Hauptbahnhof, 8001 Zürich",,8001,Zürich,Zürich
Migros,150013,Zürich - Herdern,"Pfingstweidstrasse 101, 8005 Zürich",,8005,Zürich,Zürich
M-Migros,150077,Zürich - Höngg,"Regensdorferstrasse 20, 8049 Zürich",,8049,Zürich,Zürich
M-Migros,150116,Zürich - Höschgasse,"Seefeldstrasse 111-113, 8008 Zürich",,8008,Zürich,Zürich
MM-Migros,150009,Zürich - Kreuzplatz,"Kreuzplatz 20, 8008 Zürich",,8008,Zürich,Zürich
M-Migros,150183,Zürich - Leimbach Sihlbogen,"Leimbachstrasse 23, 8041 Zürich",,8041,Zürich,Zürich
MMM-Migros,150018,Zürich - Limmatplatz,"Limmatstrasse 152, 8005 Zürich",,8005,Zürich,Zürich
MM-Migros,150017,Zürich - Oerlikon Neumarkt,"Hofwiesenstrasse 350-354, 8050 Zürich",,8050,Zürich,Zürich
M-Migros,150132,Zürich - Puls 5 M-Express,"Hardturmstrasse 11, 8005 Zürich",,8005,Zürich,Zürich
M-Migros,150122,Zürich - Pünt,"Albisriederstrasse 365, 8047 Zürich",,8047,Zürich,Zürich
M-Migros,150115,Zürich - Rigiplatz,"Winterthurerstrasse 2-4, 8006 Zürich",,8006,Zürich,Zürich
M-Migros,150312,Zürich - Schaffhauserplatz,"Schaffhauserstrasse 75, 8057 Zürich",,8057,Zürich,Zürich
M-Migros,150120,Zürich - Schmiede Wiedikon,"Birmensdorferstrasse 140, 8003 Zürich",,8003,Zürich,Zürich
M-Migros,150014,Zürich - Schwamendingen,"Winterthurerstrasse 524, 8051 Zürich",,8051,Zürich,Zürich
MM-Migros,150020,Zürich - Seebach,"Schaffhauserstrasse 470, 8052 Zürich",,8052,Zürich,Zürich
M-Migros,150140,Zürich - ShopVilleMärt,"Shop Ville, 8001 Zürich",,8001,Zürich,Zürich
M-Migros,150007,Zürich - Stadelhofen,"Falkenstrasse 19 - 21, 8008 Zürich",,8008,Zürich,Zürich
M-Migros,150131,Zürich - Stockerstrasse M-Express,"Stockerstrasse 47, 8002 Zürich",,8002,Zürich,Zürich
M-Migros,150319,Zürich - Toblerplatz,"Toblerstrasse 73, 8044 Zürich",,8044,Zürich,Zürich
M-Migros,150010,Zürich - Wengihof,"Wengistrasse 7, 8004 Zürich",,8004,Zürich,Zürich
MM-Migros,150016,Zürich - Wiedikon M-Märt,"Birmensdorferstrasse 320, 8055 Zürich",,8055,Zürich,Zürich
M-Migros,150326,Zürich - Wipkingen,"Scheffelstrasse 3, 8037 Zürich",,8037,Zürich,Zürich
MM-Migros,150011,Zürich - Witikon-Zentrum,"Witikonerstrasse 293, 8053 Zürich",,8053,Zürich,Zürich
MM-Migros,150008,Zürich - Wollishofen,"Etzelstrasse 3, 8038 Zürich",,8038,Zürich,Zürich
Migros-Supermarkt,93020,teo Bürglen,"Weinfelderstrasse 33a, 8575 Bürglen",,8575,Bürglen,Zürich
Migros-Supermarkt,150261,teo Dietlikon,"Brunnenwiesenstrasse 22, 8305 Dietlikon",,8305,Dietlikon,Zürich
Migros-Supermarkt,150260,teo Kloten,"Lindenstrasse 18, 8302 Kloten",,8302,Kloten,Zürich
Migros-Supermarkt,93010,teo Neuhegi,"Sulzerallee 54, 8404 Winterthur",,8404,Winterthur,Zürich
