Type,Store ID,Name,Address,Opening Hour,Zip Code,City,Canton,Longitude,Latitude
M-Migros,73980,Kriens - Mattenhof,"Am Mattenhof 2, 6010 Kriens",,6010,Kriens,Aargau,8.300860199999999,47.0275961
MM-Migros,34240,Köniz - Bläuacker,"Bläuacker 10, 3098 Köniz",,3098,Köniz,Bern,7.4144043,46.9234636
M-Migros,150157,Küsnacht ZH,"Zürichstrasse 149, 8700 Küsnacht ZH",,8700,Küsnacht,Zürich,8.5819759,47.3185158
MM-Migros,73720,Küssnacht - Rigimärt,"Siegwartstrasse 11, 6403 Küssnacht am Rigi",,6403,Küssnacht,Luzern,8.441486099999999,47.083948
M-Migros,83750,La Neuveville,"Chemin des Vergers 20, 2520 La Neuveville",,2520,La,Bern,7.088373199999999,47.0617573
M-Migros,83840,La Roche,"Haut de Scherwil 2, 1634 La Roche",,1634,La,Fribourg,7.141300299999999,46.698191
M-Migros,63950,La Tour-de-Peilz,"Place des Anciens-Fossés 10B, 1814 La Tour-de-Peilz",,1814,La,Vaud,6.8574724,46.4526496
M-Migros,83970,La Tour-de-Trême Tivoli,"Rue de l'Ancien Comté 17b, 1635 La Tour-de-Trême",,1635,La,Fribourg,7.0633925,46.6106241
M-Migros,63850,La Vallée,"Rue de la Gare 7, 1347 Le Sentier",,1347,Le,Vaud,6.230555600000001,46.6058333
MM-Migros,150073,Lachen,"Feldstrasse 6, 8853 Lachen",,8853,Lachen,Schwyz,8.855888,47.1915957
MM-Migros,44530,Lancy-Onex,"Rue des Bossons 78-80, 1213 Petit-Lancy",,1213,Petit,Genève,6.1105979,46.1887414
MM-Migros,90428,Landquart,"Bahnhofstrasse 54, 7302 Landquart",,7302,Landquart,Graubünden,9.561741099999999,46.9678955
MMM-Migros,34813,Langendorf - Ladedorf,"Fabrikstrasse 6, 4513 Langendorf",,4513,Langendorf,Solothurn,7.5114806,47.2184571
MM-Migros,34310,Langenthal,"Wiesenstrasse 28, 4900 Langenthal",,4900,Langenthal,Bern,7.7841441,47.2144627
M-Migros,150168,Langnau a. A.,"Hintere Grundstrasse 2, 8135 Langnau am Albis",,8135,Langnau,Zürich,8.537825699999999,47.2913472
MM-Migros,34460,Langnau i.E.,"Schlossstrasse 1a, 3550 Langnau i. E.",,3550,Langnau,Bern,7.7877383,46.9397291
MM-Migros,23230,Laufen - Birscenter,"Bahnhofstrasse 4, 4242 Laufen",,4242,Laufen,Basel-Landschaft,7.501749999999999,47.4201067
M-Migros,63880,Lausanne - Bellevaux,"Route Aloys-Fauquez 97, 1018 Lausanne",,1018,Lausanne,Vaud,6.633465300000001,46.5375994
MM-Migros,64570,Lausanne - Bergières,"Avenue des Bergières 50, 1004 Lausanne",,1004,Lausanne,Vaud,6.618674,46.531266
MM-Migros,64520,Lausanne - Chailly,"Avenue de la Vallonnette 2, 1012 Lausanne",,1012,Lausanne,Vaud,6.651666700000001,46.5272222
MM-Migros,64580,Lausanne - Closelet,"Avenue d'Ouchy 11, 1006 Lausanne",,1006,Lausanne,Vaud,6.6327767,46.51472709999999
M-Migros,63660,Lausanne - Cour,"Avenue de Cour 36, 1007 Lausanne",,1007,Lausanne,Vaud,6.6177823,46.5155569
M-Migros,63895,Lausanne - Flon Europe,"Place de l'Europe 8, 1003 Lausanne",,1003,Lausanne,Vaud,6.6298189,46.5207492
M-Migros,63865,Lausanne - La Borde,"Rue de la Borde 3B, 1018 Lausanne",,1018,Lausanne,Vaud,6.6330705,46.5272276
M-Migros,63710,Lausanne - La Harpe,"Avenue de la Harpe 17, 1007 Lausanne",,1007,Lausanne,Vaud,6.6259505,46.5124098
M-Migros,64340,Lausanne - La Sallaz,"Route de Berne 1, 1010 Lausanne",,1010,Lausanne,Vaud,6.6467845,46.5329338
MMM-Migros,64970,Lausanne - Métropole,"Rue des Terreaux 25, 1003 Lausanne",,1003,Lausanne,Vaud,6.6275001,46.5224901
M-Migros,63970,Lausanne - Saint-Paul,"Avenue d'Echallens 63, 1004 Lausanne",,1004,Lausanne,Vaud,6.6161805,46.5278499
M-Migros,63770,Lausanne - Sévelin,"Av. de Sévelin 2 Ab, 1007 Lausanne",,1007,Lausanne,Vaud,6.6161869,46.52160079999999
M-Migros,133760,Le Bouveret,"En Bellossy, 1897 Bouveret",,1897,Bouveret,Valais,6.860267700000001,46.3778942
Migros-Partner,137225,Le Châble,"Route de Verbier 15, 1934 Le Châble VS",,1934,Le,Valais,7.213269699999999,46.08127409999999
M-Migros,83880,Le Landeron,"Route de Neuchâtel 40, 2525 Le Landeron",,2525,Le,Neuchâtel,7.060724899999999,47.05640080000001
M-Migros,44370,Le Lignon,"Place du Lignon 29 A, 1219 Le Lignon",,1219,Le,Genève,6.096945799999999,46.2037339
MM-Migros,84280,Le Locle,"Rue Bournot 35, 2400 Le Locle",Geschlossen,2400,Le,Neuchâtel,6.7475837,47.0562339
MM-Migros,34243,Lenzburg,"Bachstrasse 15, 5600 Lenzburg",,5600,Lenzburg,Aargau,8.1771903,47.3874977
M-Migros,83930,Les Cadolles,"Rue du Plan 28, 2000 Neuchâtel",,2000,Neuchâtel,Neuchâtel,6.9250696,46.99867090000001
MM-Migros,84310,Les Eplatures,"Charles Naine 44, 2300 La Chaux-de-Fonds",,2300,La,Neuchâtel,6.8030468,47.0900296
Migros-Partner,137220,Leuk,"Konsumgenossenschaft, 3953 Leuk Stadt",,3953,Leuk,Valais,7.612349,46.3352558
M-Migros,134230,Leukerbad,"Kantonstrasse, 3954 Leukerbad",,3954,Leukerbad,Valais,7.626352300000001,46.378972
Migros-Partner,137285,Leytron,"Giro Union, 1912 Leytron",,1912,Leytron,Valais,7.205991099999999,46.188345
MM-Migros,23080,Liestal,"Kasernenstrasse 8, 4410 Liestal",,4410,Liestal,Basel-Landschaft,7.735968199999999,47.4825871
MM-Migros,124240,Locarno,"Via Stefano Franscini 31, 6600 Locarno",,6600,Locarno,Ticino,8.7958879,46.1657028
M-Migros,123730,Locarno - Solduno,"Via A. Franzoni 43, 6604 Locarno",,6604,Locarno,Ticino,8.782362,46.1684227
Migros Fachmarkt,126580,Losone,"Via dei Pioppi 2A, 6616 Losone",,6616,Losone,Ticino,8.77207,46.1667842
M-Migros,33233,Lostorf,"Hauptstrasse 20, 4654 Lostorf",,4654,Lostorf,Solothurn,7.947779700000001,47.382906
MMM-Migros,125010,Lugano - Città,"Via Pretorio 15, 6900 Lugano",,6900,Lugano,Ticino,8.9521917,46.0072667
M-Migros,123710,Lugano - Molino Nuovo,"Via Monte Boglia 5, 6900 Lugano",,6900,Lugano,Ticino,8.958645599999999,46.0181406
M-Migros,123660,Lugano - Paradiso,"Via Geretta, 6902 Lugano",,6902,Lugano,Ticino,8.9436231,45.9912388
M-Migros,33813,Lupfig,"Flachsacherstrasse 17, 5242 Lupfig",,5242,Lupfig,Aargau,8.2081947,47.44005970000001
M-Migros,63835,Lutry – La Conversion,"Route de la Conversion 314, 1093 La Conversion",,1093,La,Vaud,6.6769263,46.5133792
M-Migros,73840,Luzern - Allmend,"Zihlmattweg 46, 6005 Luzern",,6005,Luzern,Aargau,8.3045821,47.0313725
M-Migros,73230,Luzern - Bahnhof,"Zentralstrasse 1, 6003 Luzern",,6003,Luzern,Aargau,8.3102638,47.0501744
Daily,73150,Luzern - Bahnhof Daily,"Zentralstrasse 7, 6003 Luzern",,6003,Luzern,Aargau,8.309627299999999,47.049483
M-Migros,73770,Luzern - Bruchstrasse,"Bruchstrasse 18, 6003 Luzern",,6003,Luzern,Aargau,8.2991856,47.05051539999999
M-Migros,73670,Luzern - Brüelstrasse,"Kreuzbuchstrasse 53, 6006 Luzern",,6006,Luzern,Aargau,8.339967699999999,47.0544319
M-Migros,73930,Luzern - Grossmatte,"Luzernerstrasse 143, 6014 Luzern",,6014,Luzern,Aargau,8.2620816,47.0490708
M-Migros,73140,Luzern - Schlossberg,"Friedentalstrasse 6, 6004 Luzern",,6004,Luzern,Aargau,8.3077733,47.0612711
MM-Migros,74380,Luzern - Schweizerhof,"Hertensteinstrasse 9, 6004 Luzern",,6004,Luzern,Aargau,8.3096768,47.054745
MM-Migros,74260,Luzern - Schönbühl,"Langensandstr. 23, 6005 Luzern",,6005,Luzern,Aargau,8.327643199999999,47.0372928
M-Migros,73690,Luzern - Waldstätter,"Winkelriedstrasse 58, 6003 Luzern",,6003,Luzern,Aargau,8.3072655,47.0461492
M-Migros,73270,Luzern - Würzenbachstrasse,"Würzenbachstrasse 19, 6006 Luzern",,6006,Luzern,Aargau,8.343715699999999,47.0550868
MM-Migros,34420,Lyss Lyssbachpark,"Steinweg 28, 3250 Lyss",,3250,Lyss,Bern,7.3042599,47.0784931
M-Migros,44600,M-Express Pont-Rouge,"Esplanade de Pont-Rouge 2, 1212 Grand-Lancy",,1212,Grand,Genève,6.1274789,46.1872348
Migros-Partner,63122,MP La Sarraz,"Chemin des Prés-Morés 2, 1315 La Sarraz",,1315,La,Vaud,6.5087597,46.6543842
Migros-Partner,63132,MP Ouchy,"Avenue de Rhodanie 2, 1007 Lausanne",,1007,Lausanne,Vaud,6.624861699999999,46.50792389999999
M-Migros,123820,Maggia,"Via Cantonale, 6673 Maggia",,6673,Maggia,Ticino,8.705388800000001,46.2455766
M-Migros,73950,Malters,"Weihermatte 7a/7b, 6102 Malters",,6102,Malters,Luzern,8.180259699999999,47.0375106
M-Migros,84240,Marché FR,"Rue St-Pierre 2, 1700 Fribourg",,1700,Fribourg,Fribourg,7.154414,46.803415
MMM-Migros,84721,Marin Centre,"Rue Fleur-de-Lys 26, 2074 Marin-Epagnier",,2074,Marin,Neuchâtel,7.007772,47.011913
MM-Migros,83650,Marly,"Route des Pralettes 1, 1723 Marly",,1723,Marly,Fribourg,7.161238,46.776154
MMM-Migros,134550,Martigny - Manoir,"Rue du Manoir 1, 1920 Martigny",,1920,Martigny,Valais,7.071951599999999,46.1013023
M-Migros,136485,Martigny Avouillons,"Rue des Avouillons 8, 1920 Martigny",,1920,Martigny,Valais,7.085201,46.1057121
Migros Fachmarkt,136450,Martigny Quartz Center,"Avenue de Fully 63, 1920 Martigny",,1920,Martigny,Valais,7.077022899999999,46.1111592
M-Migros,123720,Massagno - Radio,"Via Besso 74, 6900 Massagno",,6900,Massagno,Ticino,8.9390925,46.0097465
M-Migros,33790,Matten,"Aegertiweg 33, 3812 Wilderswil",,3812,Wilderswil,Bern,7.868567199999999,46.6732321
M-Migros,93830,Matzingen,"Frauenfelderstrasse 95, 9548 Matzingen",,9548,Matzingen,Thurgau,8.922372,47.5266094
Migros-Partner,63145,Maupas,"Rue du Maupas 69, 1004 Lausanne",,1004,Lausanne,Vaud,6.623571999999999,46.5259813
MM-Migros,150063,Meilen,"Rosengartenstrasse 10, 8706 Meilen",,8706,Meilen,Zürich,8.6456135,47.2684059
MM-Migros,34470,Meiringen,"Bahnhofstrasse 1, 3860 Meiringen",,3860,Meiringen,Bern,8.184876899999999,46.7281823
M-Migros,123850,Melano,"Via Cantonale 89, 6818 Melano",,6818,Melano,Ticino,8.9853614,45.9192677
M-Migros,33380,Mellingen,"Lenzburgerstrasse 50, 5507 Mellingen",,5507,Mellingen,Aargau,8.267057399999999,47.4132358
MMM-Migros,90471,Mels - Pizolpark,"Grossfeldstrasse 56, 8879 Pizolpark (Mels)",,8879,Pizolpark,Zürich,9.4312979,47.0421211
M-Migros,123760,Mendrisio,"Via L. Lavizzari 2, Piazza alla Valle, 6850 Mendrisio",,6850,Mendrisio,Ticino,8.9861489,45.8703931
M-Migros,33963,Menziken,"Sagiweg 8, 5737 Menziken",,5737,Menziken,Aargau,8.1868862,47.2415495
MM-Migros,44410,Meyrin,"Avenue de Feuillasse 24, 1217 Meyrin",,1217,Meyrin,Genève,6.082617,46.2322514
M-Migros,123650,Minusio - Centro Borenco,"Via S.Gottardo 56, 6648 Minusio",,6648,Minusio,Ticino,8.811113299999999,46.1752695
MM-Migros,64270,Montagny,"En Chamard, 1442 Montagny-près-Yverdon",,1442,Montagny,Vaud,6.6211229,46.7881267
MMM-Migros,134530,Monthey - M Central,"Avenue de la Gare 36, 1870 Monthey",,1870,Monthey,Valais,6.951918399999999,46.2540655
MM-Migros,64410,Montreux,"Place du Marché 6, 1820 Montreux",,1820,Montreux,Vaud,6.9103024,46.43136260000001
MM-Migros,84250,Morat,"Bernstrasse 18, 3280 Morat",,3280,Morat,Bern,7.1230561,46.9300688
MMM-Migros,124270,Morbio Inferiore - Serfontana,"Viale Serfontana 20, 6834 Morbio Inferiore",,6834,Morbio,Ticino,9.0158114,45.845155
MM-Migros,64290,Morges,"Rue de la gare 19, 1110 Morges",,1110,Morges,Vaud,6.4948101,46.50965799999999
MM-Migros,64350,Moudon,"Avenue de la Grande Fin 1, 1510 Moudon",,1510,Moudon,Vaud,6.8007963,46.66791300000001
MM-Migros,24400,Moutier,"Rue de l'Ecluse 1, 2740 Moutier",,2740,Moutier,Bern,7.369839499999999,47.2766867
M-Migros,33873,Murgenthal,"Fahrackerstrasse 1, 4853 Murgenthal",,4853,Murgenthal,Aargau,7.8291953,47.2648681
MM-Migros,33934,Muri AG,"Kirchfeldstrasse 8, 5630 Muri AG",,5630,Muri,Aargau,8.3340601,47.4441295
M-Migros,23810,Muttenz - Lutzert,"Lutzertstrasse 40, 4132 Muttenz",,4132,Muttenz,Basel-Landschaft,7.633268800000001,47.5339698
MM-Migros,24380,Muttenz - Rothausstrasse,"Rothausstrasse 17, 4132 Muttenz",,4132,Muttenz,Basel-Landschaft,7.655712299999999,47.52636030000001
M-Migros,150197,Männedorf,"Alte Landstrasse 262, 8708 Männedorf",,8708,Männedorf,Zürich,8.6959135,47.25284389999999
MMM-Migros,84230,Métropole Centre MS,"Rue Daniel-Jeanrichard 23, 2300 La Chaux-de-Fonds",,2300,La,Neuchâtel,6.8273918,47.1001075
Migros-Partner,63112,Mézières,"Route de la Croix d'Or 2, 1083 Mézières VD",,1083,Mézières,Vaud,6.7697784,46.5962593
M-Migros,33163,Möhlin,"Hauptstrasse 91, 4313 Möhlin",,4313,Möhlin,Basel-Landschaft,7.846618500000001,47.55648189999999
M-Migros,90351,Müllheim,"Thurstrasse 3, 8555 Müllheim Dorf",,8555,Müllheim,Zürich,9.0005056,47.599684
M-Migros,33730,Münchenbuchsee - Tanne,"Bernstrasse 14, 3053 Münchenbuchsee",,3053,Münchenbuchsee,Bern,7.451118999999999,47.019911
MM-Migros,24580,Münchenstein - Gartenstadt,"Kaspar Pfeiffer-Strasse 2, 4142 Münchenstein",,4142,Münchenstein,Basel-Landschaft,7.607324699999999,47.52172059999999
M-Migros,90376,Münchwilen,"Wilerstrasse 5, 9542 Münchwilen",,9542,Münchwilen,Thurgau,8.9981172,47.4777054
MM-Migros,34270,Münsingen,"Bahnhofplatz 5, 3110 Münsingen",,3110,Münsingen,Bern,7.5601532,46.8731962
M-Migros,133770,Naters,"Kelchbachstrasse 16, 3904 Naters",,3904,Naters,Valais,7.9900542,46.325258
M-Migros,33663,Neuenhof,"Zürcherstrasse 113, 5432 Neuenhof",,5432,Neuenhof,Aargau,8.327479799999999,47.450122
Migros-Partner,77210,Neuenkirch,"Luzernstrasse 16, 6206 Neuenkirch",,6206,Neuenkirch,Luzern,8.205216499999999,47.0982197
M-Migros,94220,Neuhausen,"Im RhyTech 4, 8212 Neuhausen",,8212,Neuhausen,Zürich,8.6145234,47.682631
M-Migros,93750,Neunkirch,"Löhningerstrasse 4, 8213 Neunkirch",,8213,Neunkirch,Zürich,8.5045769,47.6902894
M-Migros,83960,Neyruz,"Place de la Gare 10, 1740 Neyruz FR",,1740,Neyruz,Fribourg,7.000525,46.7489766
MM-Migros,34330,Nidau,"Lyssstrasse 15, 2560 Nidau",,2560,Nidau,Bern,7.246324100000001,47.1263706
M-Migros,150180,Niederhasli,"Dorfstrasse 20, 8155 Niederhasli",,8155,Niederhasli,Zürich,8.4852066,47.4798122
M-Migros,150187,Niederurnen,"Ziegelbrückstrasse 21, 8867 Niederurnen",,8867,Niederurnen,Zürich,9.0560191,47.1286639
M-Migros,63645,Noville,"Route du Simplon, 1845 Noville",,1845,Noville,Vaud,6.9217569,46.390521
M-Migros,33733,Nussbaumen - Markthof,"Schulstrasse 2, 5415 Nussbaumen b.Baden",,5415,Nussbaumen,Aargau,8.2923653,47.4876958
MMM-Migros,44470,Nyon - La Combe,"Rue de la Morâche 6, 1260 Nyon",,1260,Nyon,Vaud,6.2346698,46.3827212
Migros Fachmarkt,44320,Nyon - Porte de Nyon,"chemin de la Fontaine 1, 1260 Nyon",,1260,Nyon,Vaud,6.220672899999999,46.3883058
M-Migros,150330,Näfels,"Oberdorf 44, 8752 Näfels",,8752,Näfels,Zürich,9.0593448,47.0936675
M-Migros,150161,Oberengstringen,"Im Zentrum 2, 8102 Oberengstringen",,8102,Oberengstringen,Zürich,8.4633333,47.40861109999999
M-Migros,150021,Oberglatt,"Lägernstrasse 6, 8154 Oberglatt ZH",,8154,Oberglatt,Zürich,8.507587,47.47555999999999
M-Migros,73280,Oberkirch,"Luzernstrasse 36, 6208 Oberkirch LU",,6208,Oberkirch,Luzern,8.1137803,47.1651653
M-Migros,90331,Oberriet,"Staatsstrasse 56, 9463 Oberriet SG",,9463,Oberriet,Zürich,9.563509,47.3155572
MMM-Migros,23800,Oberwil,"Mühlemattstrasse 18, 4104 Oberwil",,4104,Oberwil,Basel-Stadt,7.5544142,47.5099847
M-Migros,33923,Oensingen,"Mühlefeldstrasse 53, 4702 Oensingen",,4702,Oensingen,Solothurn,7.719151699999999,47.2889251
MM-Migros,34253,Oftringen,"Zürichstrasse 2, 4665 Oftringen",,4665,Oftringen,Aargau,7.919854,47.31297259999999
MM-Migros,34383,Olten - Hammer,"Solothurnerstrasse 21, 4600 Olten",,4600,Olten,Solothurn,7.8979731,47.349999
MM-Migros,34403,Olten - Sälipark,"Louis Giroud-Strasse 20, 4600 Olten",,4600,Olten,Solothurn,7.910366199999999,47.3465494
MM-Migros,150154,Opfikon - Glattpark,"Thurgauerstrasse 106, 8152 Opfikon",,8152,Opfikon,Zürich,8.5577823,47.4210946
M-Migros,63930,Orbe,"Rue des Terreaux 22, 1350 Orbe",,1350,Orbe,Vaud,6.531313099999999,46.7238364
M-Migros,63825,Orbe Gruvatiez,"Route des Granges-Martin 22, 1350 Orbe",,1350,Orbe,Vaud,6.5323588,46.7293301
M-Migros,63810,Oron-la-Ville,"Route de Lausanne 2, 1610 Oron-la-Ville",,1610,Oron,Fribourg,6.825833299999999,46.5719444
MM-Migros,34430,Ostermundigen,"Bernstrasse 114, 3072 Ostermundigen",,3072,Ostermundigen,Bern,7.496015499999999,46.9567813
M-Migros,33720,Ostermundigen Poststrasse,"Poststr. 1, 3072 Ostermundigen 1",,3072,Ostermundigen,Bern,7.4826206,46.9561663
MM-Migros,64360,Payerne,"Rue du Temple 19, 1530 Payerne",,1530,Payerne,Vaud,6.9395504,46.820204
MM-Migros,84260,Peseux,"Rue Jämes-Paris 4, 2034 Peseux",,2034,Peseux,Neuchâtel,6.8892536,46.9861029
M-Migros,93820,Pfungen,"Weiacherstrasse 1, 8422 Pfungen",,8422,Pfungen,Zürich,8.6500922,47.5172884
MM-Migros,150072,Pfäffikon - Seedammcenter,"Gwattstrasse 11, 8808 Pfäffikon SZ",,8808,Pfäffikon,Zürich,8.793173699999999,47.2004028
MM-Migros,94340,Pfäffikon ZH,"Turmstrasse 9, 8330 Pfäffikon ZH",,8330,Pfäffikon,Zürich,8.7812436,47.36860859999999
M-Migros,83920,Plaffeien,"Obere Matte 9, 1716 Plaffeien",,1716,Plaffeien,Fribourg,7.2913561,46.7401152
MM-Migros,44590,Plan-les-Ouates,"Route de Saint-Julien 176, 1228 Plan-les-Ouates",,1228,Plan,Genève,6.1151683,46.1676393
Migros-Partner,63162,Pontaise,"Avenue Jomini 11, 1018 Lausanne",,1018,Lausanne,Vaud,6.6284683,46.5303172
Migros-Supermarkt,90706,Popup - Openair Frauenfeld,"Allmend, 8500 Frauenfeld",Geschlossen,8500,Frauenfeld,Zürich,8.8974919,47.57620499999999
MM-Migros,24270,Porrentruy,"Faubourg St Germain 2, 2900 Porrentruy",,2900,Porrentruy,Jura,7.0780708,47.416548
MM-Migros,44920,Porte de Versoix,"Chemin de l'ancien péage 1, 1290 Versoix",,1290,Versoix,Genève,6.1672147,46.2752807
M-Migros,84220,Portes-Rouges,"Avenue des Portes-Rouges 46, 2000 Neuchâtel",,2000,Neuchâtel,Neuchâtel,6.9553646,47.0040459
MM-Migros,23640,Pratteln,"Burggartenstrasse 21, 4133 Pratteln",,4133,Pratteln,Basel-Landschaft,7.694181100000001,47.5207122
Migros-Partner,29540,Pratteln-Gehrenacker,"Gehrenackerstrasse 7, 4133 Pratteln",,4133,Pratteln,Basel-Landschaft,7.704299799999999,47.5212632
M-Migros,123810,Pregassona,"Via alla Bozzoreda 39, 6963 Pregassona",,6963,Pregassona,Ticino,8.9672138,46.0234978
M-Migros,63820,Prilly,"Route de Cossonay 9, 1008 Prilly",,1008,Prilly,Vaud,6.607736999999999,46.533212
M-Migros,63870,Prilly - Malley,"Chemin du Viaduc 1, 1008 Prilly",,1008,Prilly,Vaud,6.6027859,46.5271852
